t,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
49.0,0.000532004,0.0008773604,0.001275717,0.001682464,0.002107748,0.002539677,0.002975734,0.003414521,0.003855246,0.004297516,0.004740893,0.005185189,0.005630159,0.006075674,0.006521661,0.006968057,0.007414796,0.007861782,0.008308981,0.008756266
50.0,0.0005307087,0.0008751073,0.001272812,0.001679141,0.002104096,0.002535753,0.002971578,0.003410154,0.003850682,0.004292774,0.004735983,0.005180123,0.005624942,0.00607031,0.006516155,0.006962411,0.00740901,0.007855858,0.008302912,0.008749997
51.0,0.0005294346,0.000872886,0.001269945,0.001675861,0.002100489,0.002531877,0.002967473,0.00340584,0.003846175,0.004288091,0.004731134,0.005175118,0.005619789,0.006065013,0.006510718,0.006956835,0.007403296,0.007850006,0.008296914,0.008743818
52.0,0.0005281805,0.0008706954,0.001267116,0.001672624,0.002096927,0.002528049,0.002963418,0.003401579,0.003841722,0.004283464,0.004726344,0.005170175,0.005614698,0.006059779,0.006505346,0.006951326,0.00739765,0.007844223,0.008290984,0.008737719
53.0,0.0005269469,0.0008685359,0.001264325,0.001669428,0.002093409,0.002524267,0.002959412,0.003397368,0.003837322,0.004278892,0.00472161,0.00516529,0.005609667,0.006054608,0.006500038,0.006945882,0.007392071,0.007838508,0.008285119,0.008731698
54.0,0.000525733,0.0008664064,0.00126157,0.001666267,0.002089933,0.00252053,0.002955453,0.003393207,0.003832974,0.004274373,0.004716931,0.005160461,0.005604695,0.006049496,0.006494791,0.006940501,0.007386555,0.007832857,0.008279314,0.008725751
55.0,0.0005245381,0.0008643062,0.001258849,0.001663144,0.002086498,0.002516836,0.002951539,0.003389093,0.003828675,0.004269906,0.004712306,0.005155688,0.005599779,0.006044443,0.006489604,0.006935181,0.007381102,0.00782727,0.008273563,0.008719873
56.0,0.0005233616,0.0008622338,0.001256163,0.001660059,0.002083103,0.002513185,0.00294767,0.003385025,0.003824424,0.004265488,0.004707732,0.005150968,0.005594918,0.006039446,0.006484475,0.00692992,0.007375709,0.007821742,0.008267853,0.008714063
57.0,0.0005222029,0.0008601885,0.001253509,0.001657011,0.002079746,0.002509574,0.002943843,0.003381003,0.00382022,0.004261119,0.004703208,0.005146299,0.00559011,0.006034504,0.006479401,0.006924717,0.007370375,0.007816274,0.008262199,0.008708317
58.0,0.0005210616,0.0008581694,0.001250887,0.001653997,0.002076426,0.002506003,0.002940057,0.003377023,0.003816061,0.004256796,0.004698733,0.00514168,0.005585354,0.006029615,0.006474382,0.006919569,0.007365097,0.007810862,0.008256615,0.008702634
59.0,0.000519937,0.000856176,0.001248296,0.001651018,0.002073142,0.00250247,0.002936311,0.003373086,0.003811946,0.00425252,0.004694305,0.00513711,0.005580647,0.006024778,0.006469415,0.006914475,0.007359873,0.007805504,0.008251097,0.008697011
60.0,0.0005188288,0.0008542074,0.001245735,0.001648071,0.002069893,0.002498975,0.002932604,0.00336919,0.003807873,0.004248287,0.004689922,0.005132587,0.00557599,0.00601999,0.006464499,0.006909433,0.007354703,0.007800198,0.008245639,0.008691446
61.0,0.0005177365,0.0008522631,0.001243203,0.001645156,0.002066679,0.002495516,0.002928935,0.003365334,0.003803842,0.004244097,0.004685584,0.005128109,0.005571379,0.006015251,0.006459634,0.006904442,0.007349584,0.007794943,0.00824024,0.008685939
62.0,0.0005166596,0.0008503424,0.0012407,0.001642272,0.002063498,0.002492092,0.002925304,0.003361516,0.003799852,0.004239949,0.004681289,0.005123676,0.005566814,0.006010558,0.006454816,0.0068995,0.007344515,0.007789737,0.008234896,0.008680486
63.0,0.0005155976,0.0008484447,0.001238224,0.001639419,0.002060349,0.002488703,0.002921708,0.003357736,0.0037959,0.004235842,0.004677036,0.005119287,0.005562294,0.006005912,0.006450045,0.006894606,0.007339495,0.007784575,0.008229607,0.008675086
64.0,0.0005145503,0.0008465692,0.001235775,0.001636594,0.002057232,0.002485346,0.002918148,0.003353992,0.003791986,0.004231774,0.004672824,0.005114939,0.005557817,0.00600131,0.006445319,0.006889758,0.007334522,0.007779457,0.008224369,0.008669738
65.0,0.0005135171,0.0008447156,0.001233352,0.001633798,0.002054145,0.002482023,0.002914622,0.003350284,0.00378811,0.004227744,0.004668651,0.005110632,0.005553383,0.005996751,0.006440638,0.006884956,0.007329595,0.007774375,0.008219181,0.00866444
66.0,0.0005124978,0.000842883,0.001230955,0.00163103,0.002051088,0.002478731,0.002911129,0.003346611,0.003784269,0.004223752,0.004664517,0.005106365,0.005548989,0.005992234,0.006436,0.006880198,0.007324712,0.007769322,0.008214042,0.008659191
67.0,0.0005114919,0.0008410712,0.001228583,0.001628289,0.00204806,0.00247547,0.002907669,0.003342972,0.003780464,0.004219796,0.004660421,0.005102137,0.005544635,0.005987758,0.006431404,0.006875482,0.007319872,0.007764315,0.00820895,0.00865399
68.0,0.0005104991,0.0008392794,0.001226234,0.001625574,0.002045061,0.002472239,0.00290424,0.003339365,0.003776693,0.004215876,0.004656362,0.005097947,0.00554032,0.005983322,0.006426849,0.006870808,0.007315074,0.00775936,0.008203904,0.008648834
